local ID (do not amend),rdfs:domain,rdfs:label@en,rdfs:range,skos:definition@en[0],skos:scopeNote@en[0],rdfs:subPropertyOf,owl:inverseOf,Old namespace,"category (s, n,a, r)",Mandatory (Y/N),Repeatable (Y/N),rdfs:comment@en[0]
1234,Manifestation,has access point of manifestation,Nomen,Relates a manifestation to a nomen of the manifestation that is constructed using a string encoding scheme in an authority file.,This element includes an authorized and variant access point.,1274,,,r,N,Y,"Definition amended July 2021. Definition amended March 2023. Scope note added March 2023."""
1005,Manifestation,has agent associated with manifestation,Agent,Relates a manifestation to an agent.,,,,,r,N,Y,
1018,Manifestation,has alternate manifestation,Manifestation,Relates a manifestation to a manifestation that carries the same content and is published or produced at the same time as a distinct manifestation with different characteristics.,Different characteristics include the category of carrier and publisher agent.,1003,1018,,r,N,Y,"Definition amended July 2021. Definition amended and scope note added April 2022. Definition and scope note amended April 2023."""
1274,Manifestation,has appellation of manifestation,,Relates a manifestation to a nomen of the manifestation.,"This element includes a title, access point, or identifier of the manifestation.",1008,,,r,,,Element added March 2023.
1223,Manifestation,has applied material,,Relates a manifestation to the kind of substance which is applied to its underlying carrier.,,1221,,,a,N,Y,Definition added February 2022
1257,Manifestation,has authorized access point of manifestation,Nomen,Relates a manifestation to a nomen that is an access point of the manifestation that is selected for preference in an authority file.,,1234,,,r,Y,Y,Definition amended July 2021.
1222,Manifestation,has base material,,Relates a manifestation to the kind of substance of which its underlying carrier is composed.,,1221,,,a,N,Y,Definition added February 2022
1240,Manifestation,has bibliographic format,,Relates a manifestation to an extent of unit that is the number of type-pages in each type-forme.,This element applies to a manifestation that is an older printed sheet or volume.,1276,,isbd:P1122,a,,,"Definition amended and scope note added October 2022. Definition amended and subproperty added April 2023."""
1241,Manifestation,has binding,,Relates a manifestation to a physical characteristic that is the method of attaching more than one sheet to form a single unit.,This element applies to a manifestation that is a volume.,1242,,isbd:P1078,a,N,N,"Definition amended July 2021. Definition amended and scope note added April 2023. Definition amended June 2023."""
1261,Manifestation,has catalogue number,Nomen,Relates a manifestation to an identifier that is assigned by the publisher of the manifestation for use in product catalogues and lists.,,1111,,,r,N,Y,"From stipulations 8.1.4. Definition added February 2023."""
1022,Manifestation,has category of carrier,,"Relates a manifestation to a grouping that is based on a combination of the type of intermediation device required to access the content, the housing format, and the storage medium format of the manifestation.",,1263,,,a,Y,Y,"LRM element. Definition amended to fit ROF base carrier category. Definition amended April 2023."""
1264,Manifestation,has category of embodied content,,Relates a manifestation to a grouping that is based on the type of content of an expression that is embodied in the manifestation.,,1263,,,a,,,"Definition amended August 2022. Definition amended April 2023."""
1263,Manifestation,has category of manifestation,,Relates a manifestation to a grouping that is based on the common characteristics of manifestations.,,,,,a,,,"Definition amended October 2022. Definition amended April 2023."""
1116,Manifestation,has chronological designation,,Relates a manifestation to an identifier that represents a date or other timespan to indicate a position in a sequence of issues or iterations of a diachronic work.,This element applies to a manifestation that embodies the expression of a diachronic work or an expression of an issue or iteration of a diachronic work.,1111,,isbd:P1157,r,N,N,Definition amended February 2023.
1007,Manifestation,has collective agent associated with manifestation,Collective Agent,Relates a manifestation to collective agent .,"This element includes a corporate body, a jurisdiction, and a family.",1005,,,r,N,Y,Scope note added June 2022.
1019,Manifestation,has creator agent of manifestation,Agent,"Relates a manifestation to an agent who is responsible for its manufacture, production, or publication.",,1005,,,r,,,Definition amended July 2021.
1251,Manifestation,has creator collective agent of manifestation,Collective Agent,"Relates a manifestation to a collective agent who is responsible for its manufacture, production, or publication.",,1007,,,r,,,Definition amended July 2021.
1246,Manifestation,has creator person of manifestation,Person,"Relates a manifestation to a person who is responsible for its manufacture, production, or publication.",,1006,,,r,,,Definition amended July 2021.
1244,Manifestation,has date of copyright of manifestation,Time-span,Relates a manifestation to a time-span during which the manifestation or its content is legally registered.,"This element includes the assignment of a phonogram, a license for an unpublished manifestation, or a privilege to print.",1010,,,r,,,"Label is consistent with other labels. Scope note amended February 2022. Label amended June 2022. Subproperty amended March 2023."""
1235,Manifestation,has date of creation of manifestation,Time-span,"Relates a manifestation to a time-span during which the manifestation is manufactured, produced, or published.",,1010,,,r,,,Definition amended July 2021.
1208,Manifestation,has date of distribution,Time-span,Relates a manifestation to a time-span during which the manifestation is distributed.,This element includes distribution by bookselling.,1010,,,r,,,"Definition amended July 2021. Scope note amended February 2022."""
1114,Manifestation,has date of manufacture,Time-span,Relates a manifestation to a time-span during which the manifestation is manufactured.,This element includes manufacture by printing.,1235,,isbd:P1021,r,,,"GD: Label amended for clarity. Definition and scope note amended July 2021. Scope note amended February 2022."""
1209,Manifestation,has date of production,Time-span,Relates a manifestation to a time-span during which the manifestation is produced.,,1235,,,r,,,Definition amended July 2021.
1210,Manifestation,has date of publication,Time-span,Relates a manifestation to a time-span during which the manifestation is published.,,1235,,,r,,,Definition amended July 2021.
1285,Manifestation,has designation of number of sound channels,,Relates a manifestation to an extent of embodied content that is a standard configuration of distinct parallel streams that embody a single expression of audio content.,"This element applies to a manifestation that embodies performed music, sounds, or spoken word content.",1277,,,a,N,Y,Element added May 2023.
1237,Manifestation,has dimensions,,Relates a manifestation to an extent of unit that is a set of measurements of the size of the unit,"Dimensions include height, width, and depth.",1276,,isbd:P1024,a,,,Definition and scope note added and subproperty amended April 2023.
1021,Manifestation,has distributor agent,Agent,Relates a manifestation to an agent who is responsible for its distribution.,This element includes distribution by bookselling.,1005,,,r,,,"Definition and scope note amended July 2021. Scope note amended February 2022."""
1255,Manifestation,has distributor collective agent,Collective Agent,Relates a manifestation to a collective agent who is responsible for its distribution.,This element includes distribution by bookselling.,1007,,,r,,,"Definition and scope note amended July 2021. Scope note amended February 2022."""
1250,Manifestation,has distributor person,Person,Relates a manifestation to a person who is responsible for its distribution.,This element includes distribution by bookselling.,1006,,,r,,,"Definition and scope note amended July 2021. Scope note amended February 2022."""
1289,Manifestation,has encoding format,,Relates a manifestation to a standard method for representing content that is embodied in a digital file.,"This element applies to a manifestation that embodies digital content in an audio disc, audiocassette, audiotape reel, computer card, computer chip cartridge, computer disc, computer disc cartridge, computer tape cartridge, computer tape cassette, computer tape reel, online resource, soundtrack reel, video cartridge, videocassette, videodisc, or videotape reel.",1242,,,a,N,Y,Element added July 2023.
1231,Manifestation,has equalization,,Relates a manifestation to a physical characteristic that is the method that is used to adjust the volume of different frequency bands in audio content that is embodied in the manifestation.,"This element applies to a manifestation that embodies performed music, sounds, or spoken word content.",1242,,isbd:P1134,a,,,"Definition amended and scope note added February 2022. Definition amended April 2023. Definition amended June 2023."""
1002,Manifestation,has expression associated with manifestation,Expression,Relates a manifestation to an expression.,,,,,r,,,
1012,Manifestation,has expression embodied in manifestation,Expression,Relates a manifestation to an expression that is carried by the manifestation.,,1002,,,r,,,"Primary WEMI relationship element. Definition amended July 2021. Label amended August 2022."""
1278,Manifestation,has extent of aggregated content,,Relates a manifestation to an extent of manifestation that is the number of expressions of the same kind that are embodied in the manifestation.,This element applies to a manifestation that is an aggregate.,1023,,,a,N,Y,Element added April 2023.
1277,Manifestation,has extent of embodied content,,Relates a manifestation to an extent of manifestation that is a measurement of the layout of content that is embodied in the manifestation.,,1023,,,a,N,Y,Element added April 2023.
1023,Manifestation,has extent of manifestation,,Relates a manifestation to a physical characteristic that is a quantification of the physical characteristics of the manifestation.,A quantification includes the number and kind of units that measure a specific characteristic.,1242,,,a,,,"Definition amended and scope note added April 2023. Hierarchy amended May 2023. Definition amended June 2023."""
1276,Manifestation,has extent of unit,,Relates a manifestation to an extent of manifestation that is a measurement of a component or characteristic of the manifestation or a sub-unit that is available to embody content.,The measurement includes components or characteristics that do not embody content.,1023,,,a,N,Y,Element added April 2023.
1275,Manifestation,has extent of unitary structure,,Relates a manifestation to an extent of manifestation that is the number of sub-units of the same category of carrier of the manifestation.,This element applies to a manifestation that has sub-units.,1023,,,a,N,Y,Element added April 2023.
1215,Manifestation,has fingerprint,Nomen,Relates a manifestation to an identifier that is a sequence of characters that is derived from the text of the manifestation.,This element applies to a manifestation that embodies text content.,1111,,isbd:P1075,r,,,"Definition added March 2022. Definition amended February 2023."""
1239,Manifestation,has frame alignment,,Relates a manifestation to a physical characteristic that is the layout of frames that embody content in the manifestation.,"This element applies to a manifestation that is an aperture card, film cartridge, film cassette, film reel, film roll, film slip, filmstrip, filmstrip cartridge, microfilm cartridge, microfilm cassette, microfilm reel, microfilm roll, or microfilm slip.",1242,,isbd:P1063,a,,,"Scope note added February 2022. Definition added February 2023. Definition and scope note amended April 2023. Definition amended June 2023."""
1279,Manifestation,has holding,Item,Relates a manifestation to an item that is gathered into a collection.,This element applies to a manifestation that is a collection manifestation.,1004,,,r,N,Y,Element added April 2023.
1111,Manifestation,has identifier of manifestation,Nomen,Relates a manifestation to a nomen of the manifestation that is a designation that is assigned in an identifier system.,,1274,,isbd:P1154,r,,,"Definition amended July 2021. Definition amended March 2023."""
1281,Manifestation,has image resolution,,Relates a manifestation to an extent of embodied content that is the density of the smallest logical pictorial unit that is used to compose image content.,"This element applies to a manifestation that embodies cartographic image, cartographic moving image, cartographic tactile image, cartographic tactile three-dimensional form, cartographic three-dimensional form, performed movement, still image, tactile image, tactile three-dimensional form, three-dimensional form, three-dimensional moving image, or two-dimensional moving image content.",1277,,,a,N,Y,Element added April 2023.
1024,Manifestation,has intended audience of manifestation,,Relates a manifestation to a category of users for whom a manifestation is issued.,,1263,,,a,,,Definition and hierarchy amended February 2022.
1004,Manifestation,has item associated with manifestation,Item,Relates a manifestation to an item.,,,,,r,,,
1017,Manifestation,has item reproduced by manifestation,Item,Relates a manifestation to an item that exemplifies a previous manifestation and whose content is carried by the new manifestation.,This element applies to an item that has been modified.,1004,,,r,,,"Definition amended July 2021. Scope note added October 2022."""
1011,Manifestation,has item that exemplifies manifestation,Item,Relates a manifestation to an item that reflects the characteristics of the manifestation.,,1004,,,r,,,"Primary WEMI relationship element. Label and definition amended July 2021 for consistency of ""has"" form.."
1288,Manifestation,has layout of embodied content,,Relates a manifestation to a physical characteristic that is a designation that indicates the arrangement of content that is embodied in the manifestation.,"This element applies to a manifestation that embodies cartographic image, cartographic tactile image, notated movement, notated music, still image, tactile image, tactile notated movement, tactile notated music, or text content.",1242,,,a,N,Y,Element added June 2023.
1290,Manifestation,has location of collection,Place,Relates a manifestation to a place where the manifestation is stored.,This element applies to a manifestation that is a collection manifestation.,1009,,,r,N,Y,Element added September 2023.
1003,Manifestation,has manifestation associated with manifestation,Manifestation,Relates a manifestation to a manifestation.,,,,,r,,,
1015,Manifestation,has manifestation reproduced by manifestation,Manifestation,Relates a manifestation to a manifestation that exists previously and whose content is carried by the new manifestation.,,1003,1016,,r,,,"Definition amended July 2021. Definition amended June 2022."""
1025,Manifestation,has manifestation statement,,Relates a manifestation to a statement that appears in a manifestation to describe aspects of itself.,,,,,s,,,"Definition amended July 2021. Definition amended March 2022."""
1032,Manifestation,has manifestation statement of category,,Relates a manifestation to a manifestation statement that includes information that is relevant to specific categories to which the manifestation belongs.,,1025,,,s,,,"Definition amended July 2021. Label and definition amended March 2022. Label amended June 2023."""
1029,Manifestation,has manifestation statement of edition,,"Relates a manifestation to a manifestation statement that indicates that the manifestation is a version of another manifestation, and the names, functions, and other details of agents who are responsible for the creation of works and expressions that are embodied in the version.","This element includes editions and drafts, presentation and layout versions, and stages in the manufacture of another manifestation.",1025,,isbd:P1008,s,,,"Definition amended July 2021. Definition amended and scope note added March 2022. Definition amended August 2022. Scope note amended June 2023."""
1280,Manifestation,has manifestation statement of extent,,Relates a manifestation to a manifestation statement that indicates a quantification of the physical characteristics of the manifestation.,,1025,,,s,N,Y,Element added April 2023.
1034,Manifestation,has manifestation statement of identifier and terms of availability,,Relates a manifestation to a manifestation statement that includes identifiers of the manifestation and general information about obtaining items that exemplify the manifestation.,"This element includes identifiers such as key titles, standard numbers, catalogue numbers, plate numbers, and chronological and numeric designations. Terms of availability include limitations on the number of exemplars, the cost, or an indication that there is no cost, of purchasing or borrowing an exemplar, and the categories of agent to whom the terms apply.",1025,,,s,,,"Definition and scope note amended July 2021. Scope note amended February 2022. Definition and scope note amended March 2022. Definition amended February 2023. Definition amended April 2023."""
