"id";"profile_id";"ontology_entity_id";"name";"label";"definition";"comment";"type";"uri";"language";"note";"display_order";"export_order";"picklist_order";"examples";"is_required";"is_reciprocal";"is_singleton";"is_in_picklist";"is_in_export";"inverse_profile_property_id";"is_in_class_picklist";"is_in_property_picklist";"is_in_rdf";"is_in_xsd";"is_attribute";"has_language";"is_object_prop";"is_in_form";"namespace";"created_at";"updated_at";"deleted_at"
"1";"1";;"name";"name";;;"property";"reg:name";"en";;"1";"3";"1";;"1";"0";"1";"0";"1";;"0";"0";"1";"1";"1";"0";"0";"1";"http://metadataregistry.org/uri/profile/regap/";"2008-04-20 12:00:00";"2015-12-23 01:00:17";
"2";"1";;"label";"label";;;"property";"rdfs:label";"en";;"2";"4";"2";;"1";"0";"1";"1";"1";;"1";"1";"1";"1";"0";"1";"0";"1";"http://www.w3.org/2000/01/rdf-schema#";"2008-04-20 12:00:00";"2015-12-23 01:00:17";
"3";"1";;"definition";"description";;;"property";"skos:definition";"en";;"3";"6";"3";;"0";"0";"0";"1";"1";;"1";"1";"1";"1";"0";"1";"0";"1";"http://www.w3.org/2004/02/skos/core#";"2008-04-20 12:01:00";"2015-12-23 01:00:17";
"4";"1";;"type";"type";;;"property";"rdf:type";"en";;"5";"2";"5";;"1";"0";"1";"0";"1";;"0";"0";"1";"1";"1";"0";"1";"1";"http://www.w3.org/1999/02/22-rdf-syntax-ns#";"2008-04-20 12:02:00";"2015-12-23 01:00:17";
"5";"1";;"comment";"comment";;;"property";"rdfs:comment";"en";;"4";"8";"4";;"0";"0";"0";"1";"1";;"1";"1";"1";"1";"0";"1";"0";"1";"http://www.w3.org/2000/01/rdf-schema#";"2008-04-20 00:02:00";"2015-12-23 01:00:17";
"6";"1";;"isSubpropertyOf";"subPropertyOf";;;"property";"rdfs:subPropertyOf";"en";;"6";"14";"6";;"0";"0";"0";"1";"1";"8";"0";"1";"1";"1";"0";"0";"1";"1";"http://www.w3.org/2000/01/rdf-schema#";"2008-04-20 00:03:00";"2015-12-23 01:00:19";
"7";"1";;"note";"note";;;"property";"skos:scopeNote";"en";;"8";"7";"8";;"0";"0";"0";"1";"1";;"1";"1";"1";"1";"0";"1";"0";"1";"http://www.w3.org/2004/02/skos/core#";"2008-04-20 00:04:00";"2015-12-23 01:00:19";
"8";"1";;"hasSubproperty";"hasSubproperty";;;"property";"reg:hasSubproperty";"en";;"7";"15";"7";;"0";"0";"0";"0";"0";"6";"0";"0";"1";"1";"1";"0";"1";"0";"http://metadataregistry.org/uri/profile/regap/";"2008-04-20 12:05:00";"2015-12-23 01:00:19";
"9";"1";;"isSubclassOf";"subClassOf";;;"property";"rdfs:subClassOf";"en";;"9";"12";"9";;"0";"0";"0";"1";"1";"10";"1";"0";"1";"1";"0";"0";"1";"1";"http://www.w3.org/2000/01/rdf-schema#";"2009-03-07 11:49:27";"2015-12-23 01:00:19";
"10";"1";;"hasSubClass";"hasSubClass";;;"property";"reg:hasSubClass";"en";;"10";"13";"10";;"0";"0";"0";"1";"0";"9";"1";"0";"1";"1";"1";"0";"1";"0";"http://metadataregistry.org/uri/profile/regap/";"2009-03-07 11:53:34";"2015-12-23 01:00:19";
"11";"1";;"domain";"domain";;;"property";"rdfs:domain";"en";;"11";"9";"11";;"0";"0";"1";"1";"1";;"0";"1";"1";"1";"0";"0";"1";"1";"http://www.w3.org/2000/01/rdf-schema#";"2009-03-07 11:57:15";"2015-12-23 01:00:19";
